StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,NewInsulin,EQW3,1,Low,7.5,55
2,1,NewInsulin,EQW3,2,Medium,55,102.5
3,1,NewInsulin,EQW3,3,High,102.5,150
4,2,OldInsulin,EQW3,1,Low,25,66.6666666666667
5,2,OldInsulin,EQW3,2,Medium,66.6666666666667,108.333333333333
6,2,OldInsulin,EQW3,3,High,108.333333333333,150
7,3,Oral,EQW3,1,Low,0.43,77.4866666666667
8,3,Oral,EQW3,2,Medium,77.4866666666667,154.543333333333
9,3,Oral,EQW3,3,High,154.543333333333,231.6
10,4,BetaBlockers,EQW3,1,Low,0.33,80.02
11,4,BetaBlockers,EQW3,2,Medium,80.02,159.71
12,4,BetaBlockers,EQW3,3,High,159.71,239.4
13,5,CCB,EQW3,1,Low,1,90.6666666666667
14,5,CCB,EQW3,2,Medium,90.6666666666667,180.333333333333
15,5,CCB,EQW3,3,High,180.333333333333,270
16,6,Other,EQW3,1,Low,0.5,126.066666666667
17,6,Other,EQW3,2,Medium,126.066666666667,251.633333333333
18,6,Other,EQW3,3,High,251.633333333333,377.2
19,7,Statins1,EQW3,1,Low,1,160.666666666667
20,7,Statins1,EQW3,2,Medium,160.666666666667,320.333333333333
21,7,Statins1,EQW3,3,High,320.333333333333,480
22,8,Statins2,EQW3,1,Low,0.67,27.2466666666667
23,8,Statins2,EQW3,2,Medium,27.2466666666667,53.8233333333333
24,8,Statins2,EQW3,3,High,53.8233333333333,80.4
25,9,Ace1,EQW3,1,Low,2.5,126.173333333333
26,9,Ace1,EQW3,2,Medium,126.173333333333,249.846666666667
27,9,Ace1,EQW3,3,High,249.846666666667,373.52
28,39,HBA1C_FULL,EQW3,1,Low,3.9,76.8333333333333
29,39,HBA1C_FULL,EQW3,2,Medium,76.8333333333333,149.766666666667
30,39,HBA1C_FULL,EQW3,3,High,149.766666666667,222.7
31,40,LDL_FULL,EQW3,1,Low,2.8,111.33333
32,40,LDL_FULL,EQW3,2,Medium,111.33333,219.86666
33,40,LDL_FULL,EQW3,3,High,219.86666,328.39999
34,41,Cholesterol_FULL,EQW3,1,Low,64,228.333333333333
35,41,Cholesterol_FULL,EQW3,2,Medium,228.333333333333,392.666666666667
36,41,Cholesterol_FULL,EQW3,3,High,392.666666666667,557
37,42,Glucose_FULL,EQW3,1,Low,28,503
38,42,Glucose_FULL,EQW3,2,Medium,503,978
39,42,Glucose_FULL,EQW3,3,High,978,1453
40,43,Albumin_FULL,EQW3,1,Low,2,3.26666666666667
41,43,Albumin_FULL,EQW3,2,Medium,3.26666666666667,4.53333333333333
42,43,Albumin_FULL,EQW3,3,High,4.53333333333333,5.8
43,44,Creatinine_FULL,EQW3,1,Low,0.2,5.26666666666667
44,44,Creatinine_FULL,EQW3,2,Medium,5.26666666666667,10.3333333333333
45,44,Creatinine_FULL,EQW3,3,High,10.3333333333333,15.4
